	shannon_entropy
16S0064C	6.114798619623231
16S0064W	5.835690763209111
16S0073C	5.257508497033196
16S0073O	5.36481466966757
16S0073W	6.228379649278079
16S0074C	3.9687278724986443
16S0074O	4.401283024228468
16S0084C	3.9156591976507764
16S0084W	5.721416341652673
16S0087C	5.155162564663234
16S0087O	4.954341598387179
16S0088C	4.796700429329484
16S0088O	4.791636180582801
16S0089C	4.218939539227533
16S0089O	5.93079840333844
16S0090C	6.157751861840864
16S0090O	6.773423634722958
16S0092C	4.626116995036004
16S0093C	6.493175604423596
16S0093O	5.251152144103433
16S0093W	5.672416918748084
16S0094C	6.397866273601164
16S0113O	6.65465676574829
16S0117C	2.7111590202025417
16S0117O	6.404502285540889
16S0117W	4.137640715518741
16S0118C	6.437954364017222
16S0119O	7.796541185727864
16S0119W	3.8397504046100535
16S0120C	5.18424199367217
16S0120O	7.111055105453767
16S0120W	3.912432482464616
16S0123C	6.000255489382535
16S0123O	7.106399849017137
16S0123W	4.211134500251885
16S0141C	4.875143783139413
16S0141O	7.412063412065528
16S0142C	6.598207070515477
16S0142O	4.855259842773522
16S0143C	5.437643180712192
16S0143O	5.324689955309469
16S0146C	3.7789363472488287
16S0146O	5.682931339720094
TB159	5.191406080339171
TB167	7.723611108216584
TB175	6.970953839116034
TB215	9.407249645809653
TB217	5.862553767945073
TB219	4.8400932112004
TB115	8.365639653009811
TB117	7.21798287602972
TB119	4.428435400920591
TB139	7.532768933411845
TB145	4.841483408010094
TB149	5.111885305983194
TB151	5.94072659053335
TB155	7.055412773771131
TB157	5.682373441212826
