	observed_features
16S0064C	484
16S0064W	907
16S0073C	240
16S0073O	282
16S0073W	785
16S0074C	112
16S0074O	258
16S0084C	120
16S0084W	534
16S0087C	185
16S0087O	171
16S0088C	256
16S0088O	228
16S0089C	183
16S0089O	311
16S0090C	289
16S0090O	475
16S0092C	161
16S0093C	397
16S0093O	623
16S0093W	579
16S0094C	380
16S0113O	692
16S0117C	73
16S0117O	455
16S0117W	379
16S0118C	314
16S0119O	1172
16S0119W	229
16S0120C	279
16S0120O	557
16S0120W	255
16S0123C	410
16S0123O	597
16S0123W	222
16S0141C	101
16S0141O	869
16S0142C	462
16S0142O	268
16S0143C	249
16S0143O	307
16S0146C	144
16S0146O	252
TB159	841
TB167	732
TB175	512
TB215	2141
TB217	492
TB219	625
TB115	1529
TB117	790
TB119	331
TB139	1172
TB145	350
TB149	446
TB151	773
TB155	936
TB157	409
