	pielou_evenness
16S0064C	0.6856029133923324
16S0064W	0.5939659307816275
16S0073C	0.6649274368299989
16S0073O	0.6591044687108601
16S0073W	0.6476730634303657
16S0074C	0.5830058690841772
16S0074O	0.549389361192942
16S0084C	0.5669206922345633
16S0084W	0.6314544031483749
16S0087C	0.6844909651289689
16S0087O	0.6678943250010663
16S0088C	0.5995875536661855
16S0088O	0.6117328561894476
16S0089C	0.5613501909345525
16S0089O	0.7162133294078494
16S0090C	0.7532486656144415
16S0090O	0.7617620784310544
16S0092C	0.6310420745386709
16S0093C	0.7521347407412524
16S0093O	0.565668659438413
16S0093W	0.6180840807448696
16S0094C	0.746554733942268
16S0113O	0.7053438254466559
16S0117C	0.43800256282111766
16S0117O	0.7253344728585599
16S0117W	0.48302762241296276
16S0118C	0.7761601836801878
16S0119O	0.7647598954109344
16S0119W	0.48981382655727546
16S0120C	0.638129564378072
16S0120O	0.7795898674203908
16S0120W	0.489399488447172
16S0123C	0.6913150811561197
16S0123O	0.7706265478563785
16S0123W	0.540275829832497
16S0141C	0.7322002005746667
16S0141O	0.7591828522812293
16S0142C	0.745412803689239
16S0142O	0.601934807331082
16S0143C	0.683120836793496
16S0143O	0.6444721411414516
16S0146C	0.5270538180648545
16S0146O	0.7123896107718367
TB159	0.534317248826829
TB167	0.8116703174203292
TB175	0.7745504265684483
TB215	0.8502522514512241
TB217	0.6555822486443563
TB219	0.5211286712385461
TB115	0.7908248174921935
TB117	0.7498650742205272
TB119	0.5290408285129958
TB139	0.7388865709086829
TB145	0.5728745080372747
TB149	0.5808366603544126
TB151	0.6191917446802995
TB155	0.7148077071329252
TB157	0.654956383444203
